size	name	format	file	total	CJK	其他字符	规范一二级	规范繁简	GBT2312	GBT12345	GBK	古籍	Big5常用	Big5完整
8532824	阿里巴巴普惠体 3 55 Regular	ttf	*更多字体/AlibabaPuHuiTi-3-55-Regular.ttf	29197	27773	1424	6500	10662	6763	6865	20994	13344	5401	13058
21725156	阿里巴巴普惠体 3 55 Regular L3	ttf	*更多字体/AlibabaPuHuiTi-3-55-RegularL3.ttf	60337	60121	216	0	6	0	1	6	906	0	0
8146352	HONOR Sans CN	ttf	*更多字体/HONORSansCN-Regular.ttf	29000	27782	1001	6500	10662	6763	6865	21003	13344	5401	13060
8261128	HarmonyOS Sans SC	ttf	*更多字体/HarmonyOS_Sans_SC_Regular.ttf	29063	27506	1533	6497	10463	6763	6865	20989	13338	5401	13060
8455892	IBM Plex Sans SC	ttf	*更多字体/IBMPlexSansSC-Regular.ttf	29290	27786	1395	6500	10643	6763	6846	20979	13324	5382	13039
20996472	MiSans L3	ttf	*更多字体/MiSans L3.ttf	60339	60123	216	0	6	0	1	6	906	0	0
8073152	MiSans	ttf	*更多字体/MiSans-Regular.ttf	29414	27782	1632	6500	10662	6763	6865	21003	13344	5401	13060
22741096	OPPO Sans 4.0	ttf	*更多字体/OPPO Sans 4.0.ttf	29197	27773	1424	6500	10662	6763	6865	20994	13344	5401	13058
16529832	思源黑体	otf	*更多字体/SourceHanSansSC-Regular.otf	44853	30320	14533	6500	10666	6763	6866	21003	13424	5401	13060
24543332	思源宋体	otf	*更多字体/SourceHanSerifSC-Regular.otf	44779	30257	14522	6500	10666	6763	6866	21003	13419	5401	13060
57569036	TpldKhangXiDict	otf	*更多字体/TypeLand康熙字典體完整版.otf	47735	47143	522	4389	7875	4552	6482	16975	13799	5300	12702
17460336	vivo Sans SC L3	ttf	*更多字体/vivo Sans SC L3.ttf	60339	60123	216	0	6	0	1	6	906	0	0
7786748	vivo Sans	ttf	*更多字体/vivoSans-Regular.ttf	29364	27782	1467	6500	10662	6763	6865	21003	13344	5401	13060
11793068	上图东观体 常规	ttf	*更多字体/上图东观体-常规.ttf	10211	9492	709	6348	8890	6763	6864	9492	6757	5134	6852
29524372	Sino-Torch	ttf	*更多字体/中华薪火体.ttf	23300	22139	1108	6497	10465	6763	6865	20967	12498	5401	13058
33259644	KingHwaOldSong	ttf	*更多字体/京華老宋体v3.0.ttf	39575	38031	1543	6500	10668	6763	6866	20989	14250	5401	13060
15875428	汇文仿宋	ttf	*更多字体/匯文仿宋.ttf	22296	21083	1193	6496	10401	6762	6864	20974	12319	5401	13060
14388016	汇文正楷	ttf	*更多字体/匯文正楷.ttf	22298	21007	1282	6489	10384	6763	6865	20910	12317	5401	13058
18250848	华光古韵宋	ttf	*更多字体/华光古韵宋.ttf	10246	9214	929	6321	8855	6763	6864	9199	6676	5031	6671
14135056	華康古籍木蘭	ttf	*更多字体/华康古籍木兰.ttf	11270	10104	1153	6347	8441	6763	6250	10083	6730	4954	6734
9829220	汉字之美仿宋GBK 免费	ttf	*更多字体/字神汉字之美仿宋GBK.ttf	22566	20976	993	6496	10399	6763	6865	20989	12314	5401	13060
9375692	寒蝉圆黑体Regular	otf	*更多字体/寒蝉圆黑体 ChillRoundGothic_Regular.otf	27148	21398	5749	6500	10647	6763	6865	20963	12334	5401	13060
16188244	寒蝉锦书宋Regular	otf	*更多字体/寒蝉锦书宋 ChillJinshuSongRegular.otf	30740	27832	2908	6500	10662	6763	6865	20998	13344	5401	13060
22220806	Xiaolai	ttf	*更多字体/小赖字体 Xiaolai-Regular.ttf	44871	29046	15824	6500	10668	6763	6866	21003	13382	5401	13060
14263332	屏显臻宋	ttf	*更多字体/屏显臻宋.ttf	30904	27895	3009	6500	10662	6763	6865	21003	13345	5401	13060
17151049	AR PL UKai CN	ttc	*更多字体/文鼎AR PL UKai.ttc	23910	21367	2438	6492	10323	6763	6850	18431	11914	5401	13060
21053592	AR PL UMing CN	ttc	*更多字体/文鼎AR PL UMing.ttc	24269	21744	2420	6493	10341	6763	6852	18806	12002	5401	13060
17844288	新愚公和谐宋-R	ttf	*更多字体/新愚公和谐宋-R.ttf	30884	27889	2994	6500	10662	6763	6865	21003	13345	5401	13060
24049932	更纱黑体 SC	ttf	*更多字体/更纱黑体 SarasaGothicSC-Regular.ttf	46272	30320	15952	6500	10666	6763	6866	21003	13424	5401	13060
8824084	Zhuque Fangsong Regular	ttf	*更多字体/朱雀仿宋.ttf	12882	11293	1589	6500	10267	6763	6854	11030	7690	5287	7727
