Author	Type	Font	URL	Language	Related
*Adobe	【等宽】	Source Han Mono (思源等宽)	https://github.com/adobe-fonts/source-han-mono	中日韩文	
*Adobe	宋体	Source Han Serif (思源宋体)	https://github.com/adobe-fonts/source-han-serif	中日韩文	
*Adobe	黑体	Source Han Sans (思源黑体)	https://github.com/adobe-fonts/source-han-sans	中日韩文	
*Fontworks	楷体	Klee Klee One	https://github.com/fontworks-fonts/Klee	日文	
*GlyphWiki/AFDKO	宋体	HanaMin (花园明朝 / 花園フォント)	https://glyphwiki.org/hanazono/	中日文等	
*GNU	像素风格	GNU Unifont	https://unifoundry.com/unifont/index.html	多语言	
*Google	【多种】	Noto Sans CJK & Noto Serif CJK	https://github.com/notofonts/noto-cjk	中日韩文	
*IBM	【多种】	IBM Plex等	https://github.com/IBM/plex	多语言	
*一点字坊（I.字坊）	宋体	I.Ming (一点明体)	https://github.com/ichitenfont/I.Ming	繁體中文	
*上海图书馆	宋体	上图东观体	https://www.library.sh.cn/special/dongguanti/	中文	
*中华书局（以及北大方正）	宋体	中华书局宋体字库	https://www.ancientbooks.cn/helpcore?font	中文	
*乡立方集团	黑体	乡立方黑体	https://mp.weixin.qq.com/s/cz6kMxi7eb9jHe0RcvxGmw	中文（4500常用字）	
*仓耳字库	【多种】	苍耳字体	https://tsanger.cn/product	中文	
*北京卓玛之裕科技有限公司	宋体	知春宋体字库		中文	
*华为	黑体	HarmonyOS Sans (鸿蒙黑体)	https://developer.harmonyos.com/cn/design/resource	中文	汉仪旗黑
*字游工房	黑体	Hiragino (冬青黑体)	https://www.screen-hiragino.com/	中日文	
*字由	黑体	字由文艺黑、字由芳华体	https://www.hellofont.cn/newsdetail?id=229641	中文	
*字神文化	【多种】	汉字之美仿宋 GBK 免费等	http://www.godfont.com/font	中文	
*字语字库	宋体	国标宋体（GB_ST_GB18030）	http://www.thinkfont.com/#/product/detail?id=118	中文	中文
*小米	黑体	MiSans	https://hyperos.mi.com/font/download	中文	汉仪旗黑
*快看漫画	黑体	快看世界体	https://www.kuaikanmanhua.com/webs/fontPromotion	中文	
*抖音体验设计中心	黑体	抖音美好体	https://github.com/bytedance/fonts	简体中文(GB2312)	
*文悦	【多种】	文悦字库	https://wenyue.cn/	中文	
*文泉驿信任委员会	黑体	文泉驿正黑体 & 文泉驿微米黑	http://wenq.org/wqy2/index.cgi	中文	
*文鼎	【多种】	文鼎雲字庫	https://www.arphic.com.cn	中文	
*斗鱼	【斜体】	斗鱼追光体	https://www.douyu.com/topic/douyuZGT	中文	
*方正	【多种】	方正字库	https://www.foundertype.com/index.php/FindFont/index	中文	
*智琮科技（璇玑造字）	仿宋	Zhuque Fangsong (朱雀仿宋)	https://github.com/TrionesType/zhuque	简体中文	
*智琮科技（璇玑造字）	黑体	Wêlai Glow Sans (未来荧黑)	https://github.com/welai/glow-sans	中日文	思源黑体、Fira Sans、Raleway
*朝鲜媒体集团（韩国）	黑体	朝鲜100年字体	https://event.chosun.com/100/100font.html	中文等	
*杨任东	【手写】	竹石体	https://www.maoken.com/freefonts/760.html	中文	
*欧珀（OPPO）	黑体	OPPO Sans 3.0	https://www.coloros.com/article/A00000050/	中文	汉仪字库
*欧珀（OPPO）	黑体	OPPO Sans 4.0	https://www.coloros.com/article/A00000074/	中文	
*汉仪	【多种】	汉仪字库	https://www.hanyi.com.cn/font-list	中文	
*王漢宗	【多种】	王漢宗自由字型	https://code.google.com/archive/p/wangfonts/	繁體中文（台湾）	
*维沃（vivo）	黑体	vivo Sans	https://developers.vivo.com/doc/d/314fa33cbaec4a93be351cd44757d9d9	中文	方正字体
*翰字鑄造	黑体	TAIPEI SANS TC (台北黑體)	https://sites.google.com/view/jtfoundry/	中文	思源黑体
*胡晓波	【多种】	胡晓波字库（男神体等）	http://hxbzt.com	中文	
*臺灣“教育部”	【多种】	教育部標準宋體&楷書&隸書	https://language.moe.gov.tw/result.aspx?classify_sn=23	繁體中文（台湾）	
*臺灣“數位發展部”	【多种】	CNS11643全字庫（正宋體&正楷體）	https://data.gov.tw/dataset/5961	繁體中文（台湾）	
*荣耀	黑体	HONOR Sans (荣耀字体)	https://developer.honor.com/cn/doc/guides/100681	中文	方正字体
*造字工房	【多种】	造字工房字体产品	https://www.makefont.com/fonts.html	中文	
*造字工房（问藏书房）	圆体	问藏书房字体	https://www.wencang.com/font.jsp	中文（仅7千汉字）	
*金山云	黑体	金山云技术体	https://design.ksyun.com/font	中文	
*锚坞	黑体	Smiley Sans (得意黑)	https://github.com/atelier-anchor/smiley-sans	简体中文	
*阿里巴巴	【多种】	阿里妈妈字体	https://www.alibabafonts.com/#/more	中文	
*阿里巴巴	【斜体】	钉钉进步体	https://page.dingtalk.com/wow/dingtalk/default/dingtalk/y-W5aF3_ZJwzulU0nceIl	中文	
*阿里巴巴	黑体	阿里巴巴普惠体	https://www.alibabafonts.com/	中文	
8 Steps	宋体	8 Steps Unihan	https://www.8suh.com/common-chinese-font-download/	中文	
ACT-02	黑体	苹果平方（第三方）PingFangUI-VF	https://github.com/ACT-02/PingFangUI-VF/	中文	
Buernia	【美术字】	Tiejili (铁蒺藜体)	https://github.com/Buernia/Tiejili	中文	Reggae One
Buernia	黑体	Zhudou Sans (煮豆黑体)	https://github.com/Buernia/Zhudou-Sans	中日文	Noto Sans、思源黑体
ButTaiwan	圆体	gensen-font (源泉圓體)	https://github.com/ButTaiwan/gensen-font	繁體中文	思源黑体
ButTaiwan	宋体	genryu-font (源流明體)	https://github.com/ButTaiwan/genryu-font	繁體中文	思源宋体
ButTaiwan	宋体	genwan-font (源雲明體)	https://github.com/ButTaiwan/genwan-font	繁體中文	思源宋体
ButTaiwan	宋体	genyo-font (源樣明體)	https://github.com/ButTaiwan/genyo-font	繁體中文	思源宋体
ButTaiwan	楷体	iansui (芫荽)	https://github.com/ButTaiwan/iansui	繁體中文	Klee One
ButTaiwan	黑体	genseki-font (源石黑體)	https://github.com/ButTaiwan/genseki-font	繁體中文	思源黑体
ButTaiwan	黑体	genyog-font (源樣黑體)	https://github.com/ButTaiwan/genyog-font	繁體中文	思源黑体
Chenyu-otf	【手写】	辰宇落雁體	https://github.com/Chenyu-otf/chenyuluoyan_thin	繁體中文	
Clark Ma（马起园(知乎名：李阿铃)）& Jie Su（苏杰）	【多种】	Fandol字体	https://github.com/clerkma/ptex-ng-dist/tree/master/share/fonts/opentype	中文	似乎基于汉仪字体，备份<https://ctan.org/pkg/fandol>
Fitzgerald Yu	黑体	遍体黑	https://github.com/Fitzgerald-Porthmouth-Koenigsegg/Plangothic_Project	中文	思源黑体
FWHP-Enfun	楷体	Mixed VsWeKai (混菜寫楷)	https://github.com/FWHP-Enfun/Mixed-VsWeKai	中文	霞鹜文楷、芫荽
GuiWonder	【多种】	Shanggu Fonts (尚古)	https://github.com/GuiWonder/Shanggu	中日韩文	思源黑体
Henry Chan	宋体	香港民間字集 (HKCS)	https://github.com/hfhchan/hkcs	中文	
Honoka55	宋体	HuayuanSong L3 (花园宋体 L3)	https://github.com/Honoka55/HuayuanSongL3	中文	
HowardZorn	宋体	Source-Han-SimSun	https://github.com/HowardZorn/Source-Han-SimSun	中文	
ItMarki	【点阵】	MisekiBitmap (美绩点阵体)	https://github.com/ItMarki/MisekiBitmap	中文	美咲ゴチック
ItMarki	楷体	JyunsaiKaai (芫茜雅楷)	https://github.com/ItMarki/jyunsaikaai	繁體中文（香港）	Klee One
kamichikoichi	【多种】	Jigmo（字云）フォント	https://kamichikoichi.github.io/jigmo/	中文、日文等	
Keynote研究所（人生哥）	黑体	演示斜黑体	https://mp.weixin.qq.com/s/OaEtrG8C0sp-oPyyM-_Wfg	中文	思源黑体
Keynote研究所（原稿：刘锡栋）	楷体	演示夏行楷	https://mp.weixin.qq.com/s/CRnRsYu8ymlG9_oK6wmBag	中文	
Keynote研究所（原稿：叶运鹏）	楷体	演示秋鸿楷	https://mp.weixin.qq.com/s/CRnRsYu8ymlG9_oK6wmBag	中文	
Keynote研究所（原稿：孟祥媛）	楷体	演示悠然小楷	https://mp.weixin.qq.com/s/Q1lAIre4yJ-Zlf2CD82EPA	中文	
Keynote研究所（原稿：徐占海）	楷体	演示春风楷	https://mp.weixin.qq.com/s/CRnRsYu8ymlG9_oK6wmBag	中文	
Keynote研究所（原稿：纪国才）	楷体	演示佛系体	https://mp.weixin.qq.com/s/iWn8SWH5ymBKmsGiHe8Yfw	中文	
lapomme	黑体	Huayuan Gothic (樺源黑體)	https://github.com/lapomme/huayuan	中文	昭源黑體、思源黑體、台北黑體
Max Yao	圆体	獅尾圓體	https://github.com/max32002/swei-gothic	中文	思源黑体
Max Yao	宋体	獅尾四季春	https://github.com/max32002/swei-spring	中文	思源宋体
max32002	【手写】	Naikai font (內海字體)	https://github.com/max32002/naikaifont	繁體中文	濑户字体
max32002	宋体	Hana Meatball (花園肉丸)	https://github.com/max32002/max-hana	中文	花园明朝
MEE-Developers	【多种】	Mizuki-Ming (水木明体	https://github.com/MEE-Developers/Mizuki-Ming	中文	IPA 明朝
MoonlitOwen	宋体	Cactus Classical Serif (仙人掌明體)	https://github.com/MoonlitOwen/CactusSerif	中文	
MY1L	【多种】	Ctrl (尺规)	https://github.com/MY1L/Ctrl	中文	
MY1L	【多种】	HanItalic SrcMincho (源意明朝)	https://github.com/MY1L/HanItalic	中文	
MY1L	隶体	CoQuBeLi (曹全碑隶 / 曺全碑隸)	https://github.com/MY1L/CoQuBeLi	中文	
MY1L	黑体	典迹汉字（Monu Han 系列）	https://github.com/MY1L/Unicode/tree/main/Hani	中文	
nomfoundation	宋体	Nom Na Tong Font (喃那宋)	https://github.com/nomfoundation/font	越南喃字	中易宋体
Nowar Typeface	圆体	Nowar Rounded (有爱圆体)	https://github.com/nowar-fonts/Nowar-Rounded	中日韩文	
Nowar Typeface	黑体	Nowar C² (有爱锐方)	https://github.com/nowar-fonts/Nowar-CnC	中日韩文	
Nowar Typeface	黑体	Nowar Neo Sans (有爱新黑)	https://github.com/nowar-fonts/Nowar-Neo-Sans	中日韩文	
Nowar Typeface	黑体	Nowar Sans (有爱黑体)	https://github.com/nowar-fonts/Nowar-Sans	中日韩文	
oppekebekkanko	黑体	Sukima Gothic (隙间黑体 / すきまゴシック)	https://booth.pm/ja/items/2117070	日文/CJK	
